"date","close","volume","open","high","low"
"16:00","260.94","3,651,879","258.94","262.65","255.87"
"2015/09/22","260.9400","3660643.0000","259.0300","262.6500","255.8700"
"2015/09/21","264.2000","6114615.0000","263.9800","271.5700","255.8000"
"2015/09/18","260.6200","3760644.0000","257.9600","263.8200","257.5000"
"2015/09/17","262.0700","3575221.0000","263.9600","265.5000","260.6900"
"2015/09/16","262.2500","4405706.0000","253.0400","262.8800","252.8800"
"2015/09/15","253.5700","2931607.0000","252.7500","254.6000","249.5000"
"2015/09/14","253.1900","2885610.0000","251.1000","254.2500","249.6700"
"2015/09/11","250.2400","2346802.0000","247.6400","250.2400","244.7300"
"2015/09/10","248.4800","2706874.0000","247.2300","250.7231","245.3300"
"2015/09/09","248.9100","3384981.0000","252.0500","254.2500","248.3030"
"2015/09/08","248.1700","3129871.0000","245.0500","249.1600","244.0500"
"2015/09/04","241.9300","3687456.0000","240.8900","244.0900","238.2000"
"2015/09/03","245.5700","4184808.0000","252.0600","252.0800","245.0000"
"2015/09/02","247.6900","4590857.0000","245.3000","247.8800","239.7800"
"2015/09/01","238.6300","5443901.0000","240.3400","246.0000","236.9700"
"2015/08/31","249.0600","4688373.0000","245.6200","254.9500","245.5100"
"2015/08/28","248.4800","5507336.0000","241.8600","251.4500","241.5700"
"2015/08/27","242.9900","7645773.0000","231.0000","244.7500","230.8100"
"2015/08/26","224.8400","4951300.0000","227.9300","228.0000","215.5100"
"2015/08/25","220.0300","4313679.0000","230.5200","230.9000","219.1200"
"2015/08/24","218.8700","9562484.0000","202.7900","231.4000","195.0000"
"2015/08/21","230.7700","6578435.0000","236.0000","243.7999","230.5100"
"2015/08/20","242.1800","4892170.0000","252.0600","254.5600","241.9000"
"2015/08/19","255.2500","3598937.0000","260.3300","260.6500","255.0200"
"2015/08/18","260.7200","4186051.0000","255.3800","260.9500","253.5601"
"2015/08/17","254.9900","7168396.0000","255.5600","256.5900","250.5100"
"2015/08/14","243.1500","4360693.0000","247.2400","247.9300","241.7700"
"2015/08/13","242.5100","4683330.0000","239.8600","246.4800","239.1200"
"2015/08/12","238.1700","3730138.0000","235.0000","239.7700","232.7400"
"2015/08/11","237.3700","4260892.0000","237.1500","239.3000","234.4400"
"2015/08/10","241.1400","4179307.0000","238.1500","242.9700","236.0500"
"2015/08/07","242.5100","5069602.0000","243.5800","243.7300","238.3900"
"2015/08/06","246.1300","14617820.0000","249.5400","255.0000","236.1200"
"2015/08/05","270.1300","5969245.0000","263.5800","271.0000","260.4000"
"2015/08/04","266.2800","2336152.0000","260.0100","266.7200","258.3400"
"2015/08/03","259.9900","2547164.0000","266.2900","266.7099","257.0700"
"2015/07/31","266.1500","2218004.0000","267.6000","269.3599","265.1230"
"2015/07/30","266.7900","2030605.0000","262.6900","266.9400","262.1100"
"2015/07/29","263.8200","2782886.0000","264.2700","267.8900","262.0000"
"2015/07/28","264.8200","3879330.0000","255.7500","265.4000","251.8373"
"2015/07/27","253.0100","4688874.0000","262.4300","264.4321","250.7900"
"2015/07/24","265.4100","2834521.0000","267.3800","271.0900","263.9200"
"2015/07/23","267.2000","2222481.0000","269.6500","269.9000","265.2700"
"2015/07/22","267.8700","3097326.0000","261.2700","269.4400","260.8600"
"2015/07/21","266.7700","6091632.0000","270.0500","273.5000","266.5500"
"2015/07/20","282.2600","4969754.0000","275.0000","286.6500","272.5400"
"2015/07/17","274.6600","4996689.0000","272.5000","275.5400","268.2500"
"2015/07/16","266.6800","1598253.0000","264.2200","267.2000","263.1600"
"2015/07/15","263.1400","2006860.0000","266.7400","267.4900","262.0800"
"2015/07/14","265.6500","1905569.0000","262.1000","265.9899","260.5100"
"2015/07/13","262.1600","2951397.0000","262.2500","262.5500","256.0500"
"2015/07/10","259.1500","2605215.0000","262.2200","263.0000","257.8200"
"2015/07/09","257.9200","3329764.0000","259.0800","262.9500","256.7900"
"2015/07/08","254.9600","6212610.0000","259.3200","260.8000","254.3100"
"2015/07/07","267.8800","6096385.0000","275.0000","275.2000","260.7700"
"2015/07/06","279.7200","4109259.0000","278.8800","281.6900","276.3000"
"2015/07/02","280.0200","7155585.0000","280.1950","282.4500","273.3100"
"2015/07/01","269.1500","2100019.0000","271.1100","272.6200","267.8503"
"2015/06/30","268.2600","3084435.0000","264.8000","270.9200","264.0000"
"2015/06/29","262.0200","3471452.0000","261.9500","265.9500","260.7000"
"2015/06/26","267.0900","3829660.0000","268.8900","269.1100","266.0000"
"2015/06/25","268.7900","2844993.0000","266.4500","271.4100","265.2500"
"2015/06/24","265.1700","2411492.0000","266.9800","267.3500","263.7200"
"2015/06/23","267.6700","3864602.0000","260.3200","268.0000","258.5700"
"2015/06/22","259.7900","4559072.0000","262.1500","264.4000","255.6900"
